Cumulative Rewards, Average Rewards, No Timesteps
-868.3238216378734, -12.060053078303797, 72
-785.1969386433657, -13.086615644056094, 60
-1573.063517463053, -13.331046758161465, 118
-772.6612680337207, -14.048386691522195, 55
-772.6380221739895, -12.6661970848195, 61
-2286.3438586393536, -15.767888680271405, 145
-825.8026382320827, -11.79718054617261, 70
-1088.5025900565336, -12.657006861122483, 86
-704.5918073818674, -12.58199656039049, 56
-835.9448884382978, -12.293307182916143, 68
-1676.565232266585, -14.088783464425084, 119
-706.7881837966088, -12.850694250847432, 55
-1533.5351924178062, -14.069130205667948, 109
-1108.8053867275044, -12.893085892180283, 86
-1097.055687097814, -12.756461477881556, 86
-1304.7901849141251, -13.179698837516415, 99
-1822.0400424448765, -14.93475444626948, 122
-782.9832892214916, -12.83579162658183, 61
-753.4023359824185, -13.217584841796816, 57
-1888.1654112377355, -14.52434931721335, 130
-770.4928771517253, -14.268386613920839, 54
-1414.923901773357, -13.871802958562325, 102
-1069.3534424921306, -11.88170491657923, 90
-1527.0852814436385, -14.009956710492096, 109
-939.2022171345911, -12.197431391358327, 77
-1001.1542172928835, -11.918502586820042, 84
-1625.3435986358625, -14.011582746860883, 116
-747.5461763075938, -9.70839190009862, 77
-758.6031520079722, -14.313267019018344, 53
-1021.0358339264226, -12.451656511297836, 82
-1039.0576973071204, -11.545085525634672, 90
-769.396938191479, -12.61306456051605, 61
-758.6554016052987, -13.309743887812258, 57
-699.0887983796639, -12.264715761046736, 57
-1123.0298133241645, -12.206845797001789, 92
-799.5342262736496, -12.895713326994347, 62
-994.6031702466175, -12.432539628082719, 80
-816.1638738065265, -11.82846193922502, 69
-767.6526359232158, -12.794210598720264, 60
-834.9597844987226, -11.596663673593369, 72
-1398.7945443326448, -13.713672003261223, 102
-1217.786537574009, -12.818805658673778, 95
-821.051612350466, -12.828931442976032, 64
-1314.41017619781, -13.550620373173299, 97
-1531.4884407946004, -13.317290789518264, 115
-1275.7808484534776, -12.886675236903814, 99
-1266.5334842283505, -12.416994943415201, 102
-779.8963593963274, -12.379307292005198, 63
-885.4447555702992, -11.965469669868908, 74
-750.7027818660496, -12.511713031100827, 60
